timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-10-15T16:42:18,OptimizedSNN_Training,bcade10d-2493-4ec4-917d-c1c8d3d6f821,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.960027576002176,8.853482664661748e-06,7.402560410835742e-07,5.980898036145455,0.0,10.0,1.9037598652523984e-05,0.0,3.182986853886784e-05,5.086746719139182e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:42:27,Transformer_Training,aae3f30f-3f8d-42dd-ad1b-f92ccfae9b58,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.284766865006532,2.8714522610220075e-06,6.701536749812479e-07,5.6943664309000015,0.0,10.0,5.986149990135738e-06,0.0,1.0511708447221383e-05,1.6497858437357123e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:42:33,IsolationForest_Training,a1af039f-13b1-44c7-8e2a-2797b270d95f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.121094615009497,3.8347336887462e-07,3.4205263653984417e-07,2.80008505,0.0,10.0,4.821661636937692e-07,0.0,1.7210706583379456e-06,2.203236822031715e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:42:49,OptimizedSNN_Training,b64f79d8-e740-43e3-be9e-cdc11d837203,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.970874045000528,8.94246121238801e-06,7.470182359927767e-07,6.126318145818181,0.0,10.0,1.9518844496320027e-05,0.0,3.185984675555018e-05,5.1378691251870206e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:42:58,Transformer_Training,5aaadc46-1064-43af-b141-d4f81d175c71,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.282147014004295,2.737253336950237e-06,6.392245123762328e-07,4.9729956976,0.0,10.0,5.223596348635547e-06,0.0,1.0503225466648777e-05,1.5726821815284324e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:43:04,IsolationForest_Training,ccb121a7-359d-43f0-91f9-a9909d9ad732,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1229435029963497,3.847113172648744e-07,3.42591872376793e-07,2.8006804,0.0,10.0,4.838057241137321e-07,0.0,1.7265436999878148e-06,2.210349424101547e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:43:21,OptimizedSNN_Training,f516ebe1-e306-4817-9cc5-ebf2130fc011,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.066542244006996,8.775206823690506e-06,7.272345835484748e-07,5.6932189783,0.0,10.0,1.8290919955816345e-05,0.0,3.2126815313879185e-05,5.041773526969553e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:43:30,Transformer_Training,e66a5770-e7c0-486a-994a-60c61a0d886a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.448842465993948,3.013065471601519e-06,6.77269535757398e-07,5.786623675,0.0,10.0,6.345813663223726e-06,0.0,1.09656799972274e-05,1.7311493660451128e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:43:35,IsolationForest_Training,e925b731-8857-4c4a-a609-7eade74315a1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1225486479961546,3.84554384844248e-07,3.4257257850758657e-07,2.801080450000001,0.0,10.0,4.835928338512535e-07,0.0,1.7258549388821442e-06,2.2094477727333976e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:43:52,OptimizedSNN_Training,2d57ae8c-4671-486e-b015-3bcb16171953,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.09760630800156,8.819084921439584e-06,7.289942073587312e-07,5.7300171313,0.0,10.0,1.845791081925066e-05,0.0,3.2211924983332415e-05,5.0669835802583074e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:44:01,Transformer_Training,3bbd46b1-bc29-4fbb-9851-48cf4d0d909c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.287962110989611,2.716832769956589e-06,6.335953302837315e-07,4.840066567000001,0.0,10.0,5.091255651972353e-06,0.0,1.0518240297218049e-05,1.56094959491904e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:44:07,IsolationForest_Training,87e30224-da1a-45db-8652-e903f3ca487c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1382105329976184,3.94518338206292e-07,3.466127985718767e-07,2.8002016000000003,0.0,10.0,4.960347803767078e-07,0.0,1.7706606416646133e-06,2.266695422041321e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:44:23,OptimizedSNN_Training,ab3fc710-b113-4185-b6c7-85f97c699d0d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.804923345989664,8.759379557580077e-06,7.420107103495754e-07,6.027871204981818,0.0,10.0,1.892752330935452e-05,0.0,3.139927679165137e-05,5.0326800101005895e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:44:32,Transformer_Training,3229c9a3-b1b7-4115-98b0-4d23b93c98f4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.295631778004463,2.7307294491778057e-06,6.356991451549338e-07,4.8830836600000005,0.0,10.0,5.147851936666623e-06,0.0,1.0541487041660326e-05,1.568933897832695e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T16:44:38,IsolationForest_Training,2212a36c-d444-4bba-8d8b-2cccc3c95999,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1405101549898973,3.956245182920733e-07,3.468838191060016e-07,2.80000315,0.0,10.0,4.973917358910151e-07,0.0,1.77565921666327e-06,2.273050952554285e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
