timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-10-15T17:52:18,snn_training,40186c65-b80f-406b-ab07-16a146740099,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.025565553994966,8.046750787020021e-06,7.298265787467373e-07,5.814337121854547,0.0,10.0,1.6998131333818253e-05,0.0,2.9234277669456785e-05,4.623240900327504e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:52:27,Transformer_Training,d2e240e6-c795-4409-bfbe-c3f6169cbdb5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.293144581009983,2.7405664189363924e-06,6.383587524768758e-07,4.9486349395,0.0,10.0,5.2127752519921005e-06,0.0,1.0533081794468063e-05,1.5745857046460167e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:52:32,IsolationForest_Training,27ab0610-b7a7-4171-8e08-1e572d6e83b7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1214261760032969,3.837855072249695e-07,3.422298457422856e-07,2.80000315,0.0,10.0,4.824816607950697e-07,0.0,1.722548544461865e-06,2.2050302052569346e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:52:49,snn_training,02584d3d-1fc5-4ab0-998b-36b9087a1f82,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.42458890999842,8.359219360882183e-06,7.316866652038983e-07,5.8283578153818185,0.0,10.0,1.768508761681237e-05,0.0,3.034260190276352e-05,4.802768951957588e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:52:58,Transformer_Training,9b912673-7f6a-4260-8e42-01736993234a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.474605196999619,3.204478286798797e-06,7.161477148749377e-07,6.680759654800001,0.0,10.0,7.374115510913581e-06,0.0,1.1037135777789648e-05,1.841125128870323e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:53:03,IsolationForest_Training,7e2316fe-bee6-46fd-84f4-552912035132,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1319276779977372,4.107240796863679e-07,3.628536413323652e-07,3.4601914396,0.0,10.0,6.06804883915708e-07,0.0,1.753000227755466e-06,2.359805111671174e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:53:18,snn_training,05c6279d-bc3d-4675-b93a-ddceb6a11300,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.143058831003144,6.538007479713548e-06,7.150787937122155e-07,5.648301212400001,0.0,10.0,1.3559068858217004e-05,0.0,2.4004892530542244e-05,3.756396138875925e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:53:26,Transformer_Training,72c01f64-2d74-48fb-b9da-bda131a3b25a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.274213538999902,2.7287184919842943e-06,6.384141707208131e-07,4.959385820200001,0.0,10.0,5.197788898158969e-06,0.0,1.0479996175005605e-05,1.5677785073164575e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:53:32,IsolationForest_Training,824edc9a-6a25-4fa2-892c-56950389a482,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1182917859987356,3.82220851789847e-07,3.417899125928831e-07,2.8000252000000003,0.0,10.0,4.805272992546363e-07,0.0,1.7155132166307238e-06,2.1960405158853603e-06,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
2025-10-15T17:53:46,snn_training,d5f6d1ea-c8f8-402e-8174-e41f6dc7dcb9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.494713117994252,7.469016326770407e-06,7.866500265937713e-07,7.177606492,0.0,10.0,1.793137849661647e-05,0.0,2.4981671355554784e-05,4.291304985217125e-05,Spain,ESP,catalonia,,,Linux-6.8.0-85-generic-x86_64-with-glibc2.35,3.10.12,3.0.7,4,Intel(R) Core(TM) i7-7567U CPU @ 3.50GHz,,,1.9962,41.3046,15.51102066040039,machine,N,1.0
